Name,TeamAbbreviation,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Russell Westbrook,LAL,72,130,42,17,30,0.566666667,1,4,0.25,0.25,5,10,24,3,0,0.294117647,0.3125,1,0.117647059,0.538635294,0.544117647,0.552631579,2,2,0.066666667,0,0,28.57142857
Jayson Tatum,BOS,70,133,32,7,16,0.4375,2,13,0.153846154,0.153846154,12,4,10,3,3,0.285714286,0.333333333,0.5,0.448275862,0.493432759,0.344827586,0.457142857,2,3,0.1875,0,0,31.46853147
Carmelo Anthony,LAL,64,114,26,2,5,0.4,7,13,0.538461538,0.538461538,1,0,4,21,0,0,0,1,0.722222222,0.476738889,0.694444444,0.684210526,2,0,0,0,0,15.07936508
Anthony Davis,LAL,59,108,39,16,23,0.695652174,0,2,0,0,7,16,16,0,0,0.5,0.615384615,0,0.08,0.48246,0.64,0.65,6,0,0,0,0,25.20325203
Seth Curry,PHI,59,108,19,9,11,0.818181818,0,2,0,0,1,6,12,0,0,0.333333333,0.333333333,0,0.153846154,0.457584615,0.692307692,0.678571429,0,0,0,0,0,12.29508197
Domantas Sabonis,IND,59,112,29,8,12,0.666666667,1,4,0.25,0.25,10,6,10,3,0,0.375,0.428571429,1,0.25,0.52500625,0.59375,0.604166667,2,0,0,0,0,20.76923077
Tyrese Maxey,PHI,57,102,11,4,12,0.333333333,0,3,0,0,3,4,4,0,0,0.5,0.5,0,0.2,0.433783333,0.266666667,0.323529412,0,2,0.166666667,0,0,16.66666667
Kevin Durant,BKN,57,96,51,16,31,0.516129032,3,13,0.230769231,0.230769231,10,22,10,0,9,0.6875,0.6875,0,0.295454545,0.441001136,0.465909091,0.520833333,0,2,0.064516129,0,0,44.24778761
Dennis Schroder,BOS,56,106,35,11,17,0.647058824,2,5,0.4,0.4,7,4,18,6,0,0.181818182,0.181818182,1,0.227272727,0.462145455,0.636363636,0.7,0,2,0.117647059,0,0,23.42342342
Dorian Finney-Smith,DAL,54,97,25,6,7,0.857142857,4,8,0.5,0.5,1,12,0,12,0,1,1,1,0.533333333,0.595636667,0.8,0.78125,0,0,0,0,0,17.43119266
Joel Embiid,PHI,54,97,51,14,28,0.5,2,7,0.285714286,0.285714286,17,14,14,0,6,0.5,0.538461538,0,0.2,0.427984286,0.485714286,0.554347826,2,1,0.035714286,0,0,45.45454545
